,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
0,1,2015,Star Wars Ep. VII: The Force Awakens,936662225,1116648,2053311
1,2,2009,Avatar,760507625,2015837,2776345
2,3,2018,Black Panther,700059566,648300000,1348359
3,4,2018,Avengers: Infinity War,678815482,1369988,2048803
4,5,1997,Titanic,659363944,1548844,2208208
5,6,2015,Jurassic World,652270625,996584239,1648854
6,7,2012,The Avengers,623279547,894656350,1517935
7,8,2017,Star Wars Ep. VIII: The Last Jedi,620181382,696583402,1316764
8,9,2018,Incredibles 2,608581744,634000000,1242581
9,10,2008,The Dark Knight,533720947,468275260,1001996
10,11,2016,Rogue One: A Star Wars Story,532177324,516926732,1049104
11,12,2017,Beauty and the Beast,504014165,755185541,1259199
12,13,2016,Finding Dory,486295561,534926806,1021222
13,14,1999,Star Wars Ep. I: The Phantom Menace,474544677,552500000,1027044
14,15,1977,Star Wars Ep. IV: A New Hope,460998007,325600000,786598007
15,16,2015,Avengers: Age of Ultron,459005868,944008095,1403013
16,17,2012,The Dark Knight Rises,448139099,636300000,1084439
17,18,2004,Shrek 2,441226247,495781885,937008132
18,19,1982,ET: The Extra-Terrestrial,435110554,357854772,792965326
19,20,2013,The Hunger Games: Catching Fire,424668047,440200000,864868047
20,21,2006,Pirates of the Caribbean: Dead Manâs Chest,423315812,642900000,1066215
21,22,1994,The Lion King,421785283,564429585,986214868
22,23,2018,Jurassic World: Fallen Kingdom,417719760,888053039,1305772
23,24,2010,Toy Story 3,415004880,653874642,1068879
24,25,2017,Wonder Woman,412563408,408569970,821133378
25,26,2013,Iron Man 3,408992272,806400000,1215392
26,27,2016,Captain America: Civil War,408084349,731990668,1140075
27,28,2012,The Hunger Games,408010692,269912687,677923379
28,29,2017,Jumanji: Welcome to the Jungle,404508916,559987277,964496193
29,30,2002,Spider-Man,403706375,418000000,821706375
30,31,2009,Transformers: Revenge of the Fallen,402111870,434407829,836519699
31,32,2013,Frozen,400738009,871731901,1272469
32,33,1993,Jurassic Park,395708305,643104279,1038812
33,34,2017,Guardians of the Galaxy Vol 2,389813101,472504158,862317259
34,35,2011,Harry Potter and the Deathly Hallows: Part II,381193157,960500000,1341693
35,36,2003,Finding Nemo,380529370,555900000,936429370
36,37,2005,Star Wars Ep. III: Revenge of the Sith,380270577,468728300,848998877
37,38,2003,The Lord of the Rings: The Return of the King,377845905,763557436,1141403
38,39,1991,Beauty and the Beast,376057266,232373866,608431132
39,40,2004,Spider-Man 2,373524485,421586185,795110670
40,41,2004,The Passion of the Christ,370782930,251558994,622341924
41,42,2016,The Secret Life of Pets,368384330,518383092,886767422
42,43,2013,Despicable Me 2,368065385,607151450,975216835
43,44,2016,The Jungle Book,364001123,598858011,962859134
44,45,2016,Deadpool,363070709,437954884,801025593
45,46,2015,Inside Out,356461711,497774281,854235992
46,47,2015,Furious 7,353007020,1165715,1518722
