cretic(%),cretic_count,cretic_fresh,cretic_rate,cretic_rot,user(%),user_number,user_rate,name,,,,
93,403,374,8.2/10,29,87,"229,322",4.3/5,Star Wars Ep. VII: The Force Awakens,,,,
82,303,249,7.4/10,54,82,"1,381,863",4.1/5,Avatar,,,,
97,444,430,8.2/10,14,79,"84,175",4.1/5,Black Panther,,,,
84,407,344,7.5/10,63,91,"51,037",4.5/5,Avengers: Infinity War,,,,
89,184,163,8.0/10,21,69,"35,797,356",3.3/5,Titanic,,,,
71,323,230,6.7/10,93,78,"224,995",3.9/5,Jurassic World,,,,
92,340,313,8.0/10,27,91,"1,133,144",4.4/5,The Avengers,,,,
97,419,381,8.1/10,38,45,"204,091",2.8/5,Star Wars Ep. VIII: The Last Jedi,,,,
94,333,312,7.8/10,21,86,"16,103",4.2/5,Incredibles 2,,,,
94,332,312,8.6/10,20,94,"1,830,714",4.4/5,The Dark Knight,,,,
84,410,344,7.5/10,66,86,"101,006",4.2/5,Rogue One: A Star Wars Story,,,,
71,339,242,6.7/10,97,80,"85,666",4.0/5,Beauty and the Beast,,,,
94,310,292,7.6/10,18,84,"181,248",4.1/5,Finding Dory,,,,
54,220,119,6.0/10,101,59,"1,206,541",3.3/5,Star Wars Ep. I: The Phantom Menace,,,,
93,114,106,8.7/10,8,96,"859,516",4.1/5,Star Wars Ep. IV: A New Hope,,,,
75,343,257,6.7/10,86,83,"286,305",4.0/5,Avengers: Age of Ultron,,,,
87,351,304,8.0/10,47,90,"1,210,158",4.3/5,The Dark Knight Rises,,,,
89,235,208,7.7/10,27,69,"34,232,374",3.5/5,Shrek 2,,,,
98,125,123,9.2/10,2,72,"32,314,083",3.5/5,ET: The Extra-Terrestrial,,,,
89,235,208,7.7/10,27,69,"34,232,374",3.5/5,Shrek 2,,,,
53,221,118,6.0/10,103,72,"1,847,533",3.9/5,Pirates of the Caribbean: Dead ManÃ¢Â€Â™s Chest,,,,
93,123,114,8.4/10,9,93,"1,269,143",4.0/5,The Lion King,,,,
48,375,179,5.5/10,196,50,"28,284",3.2/5,Jurassic World: Fallen Kingdom,,,,
98,299,294,8.9/10,5,89,"606,302",4.3/5,Toy Story 3,,,,
89,9,8,7.3/10,1,78,"8,508",3.8/5,Wonder Woman,,,,
80,309,246,7.0/10,63,78,"483,245",4.0/5,Iron Man 3,,,,
91,382,347,7.7/10,35,89,"177,406",4.3/5,Captain America: Civil War,,,,
84,295,247,7.3/10,48,81,"902,027",4.1/5,The Hunger Games,,,,
76,212,161,6.2/10,51,87,"37,950",4.3/5,Jumanji: Welcome to the Jungle,,,,
90,240,215,7.6/10,25,67,"34,296,962",3.3/5,Spider-Man,,,,
19,247,47,3.9/10,200,57,"4,081,464",3.5/5,Transformers: Revenge of the Fallen,,,,
56,9,5,5.0/10,4,57,54,3.4/5,Frozen,,,,
91,123,112,8.3/10,11,91,"1,069,586",3.6/5,Jurassic Park,,,,
83,365,305,7.2/10,60,87,"106,468",4.2/5,Guardians of the Galaxy Vol 2,,,,
96,320,307,8.3/10,13,89,"390,605",4.3/5,Harry Potter and the Deathly Hallows: Part II,,,,
99,262,260,8.7/10,2,86,"33,356,664",3.8/5,Finding Nemo,,,,
79,291,231,7.3/10,60,65,"33,682,429",3.1/5,Star Wars Ep. III: Revenge of the Sith,,,,
93,270,252,8.7/10,18,86,"34,679,279",3.7/5,The Lord of the Rings: The Return of the King,,,,
94,113,106,8.5/10,7,92,"759,653",3.7/5,Beauty and the Beast,,,,
93,269,251,8.3/10,18,82,"1,151,544",3.5/5,Spider-Man 2,,,,
49,275,134,5.9/10,141,80,"369,139",3.7/5,The Passion of the Christ,,,,
73,217,159,6.2/10,58,62,"82,028",3.5/5,The Secret Life of Pets,,,,
74,177,131,6.7/10,46,85,"369,516",4.2/5,Despicable Me 2,,,,
95,308,292,7.7/10,16,86,"94,005",4.1/5,The Jungle Book,,,,
84,318,266,7.0/10,52,90,"186,128",4.3/5,Deadpool,,,,
98,347,339,8.9/10,8,89,"135,489",4.3/5,Inside Out,,,,
81,252,203,6.7/10,49,82,"194,598",4.1/5,Furious 7,,,,
35,254,89,4.8/10,165,55,"257,267",3.5/5,Transformers: Dark of the Moon,,,,
72,277,199,6.9/10,78,84,"153,056",4.1/5,American Sniper,,,,
95,250,238,8.5/10,12,95,"1,341,114",4.1/5,The Lord of the Rings: The Two Towers,,,,
97,269,262,8.0/10,7,92,"100,466",4.4/5,Zootopia,,,,
68,278,189,6.3/10,89,71,"246,558",3.8/5,The Hunger Games: Mockingjay - Part 1,,,,
63,254,160,6.2/10,94,51,"2,264,843",3.3/5,Spider-Man 3,,,,
56,209,117,5.8/10,92,49,"136,641",3.3/5,Minions,,,,
92,350,322,7.6/10,28,88,"104,674",4.2/5,Spider-Man: Homecoming,,,,
51,270,139,5.7/10,131,55,"480,270",3.5/5,Alice in Wonderland,,,,
91,306,279,7.8/10,27,92,"253,206",4.4/5,Guardians of the Galaxy,,,,
27,400,109,4.9/10,291,63,"232,140",3.5/5,Batman v Superman: Dawn of Justice,,,,
73,91,66,7.3/10,25,95,"1,243,857",4.1/5,Forrest Gump,,,,
85,340,290,7.2/10,50,84,"64,812",4.1/5,It,,,,
27,350,96,4.8/10,254,60,"143,953",3.5/5,Suicide Squad,,,,
83,358,297,7.1/10,61,85,"29,493",4.1/5,Deadpool 2,,,,
41,209,86,5.5/10,123,52,"2,218,529",3.4/5,Shrek the Third,,,,
57,225,129,5.8/10,96,85,"2,384,940",4.1/5,Transformers,,,,
93,274,256,7.7/10,18,91,"1,080,178",4.2/5,Iron Man,,,,
81,195,157,7.1/10,38,82,"1,156,510",3.7/5,Harry Potter and the Sorcerer's Stone,,,,
78,268,208,6.9/10,60,53,"1,320,350",3.3/5,Indiana Jones and the Kingdom of the Crystal Skull,,,,
91,228,208,8.2/10,20,95,"1,355,431",4.1/5,The Lord of the Rings: The Fellowship of the Ring,,,,
92,369,340,7.5/10,29,87,"90,776",4.2/5,Thor: Ragnarok,,,,
73,286,209,6.5/10,77,71,"479,041",3.7/5,Iron Man 2,,,,
66,248,163,6.6/10,85,56,"851,470",3.3/5,Star Wars Ep. II: Attack of the Clones,,,,
44,220,97,5.5/10,123,72,"2,738,380",3.8/5,Pirates of the Caribbean: At World's End,,,,
81,88,71,7.2/10,17,94,"1,010,844",4.1/5,Star Wars Ep. VI: Return of the Jedi,,,,
64,70,45,6.4/10,25,75,"977,249",3.5/5,Independence Day,,,,
79,215,170,7.1/10,45,86,"33,125,537",3.9/5,Pirates of the Caribbean: The Curse of the Black Pearl,,,,
92,362,333,8.2/10,29,86,"373,233",4.1/5,Skyfall,,,,
65,289,187,6.5/10,102,83,"482,566",4.1/5,The Hobbit: An Unexpected Journey,,,,
83,272,227,7.1/10,45,78,"1,558,665",3.8/5,Harry Potter and the Half-Blood Prince,,,,
48,241,116,5.4/10,125,60,"334,002",3.6/5,The Twilight Saga: Eclipse,,,,
28,225,63,4.7/10,162,60,"578,226",3.6/5,The Twilight Saga: New Moon,,,,
78,270,210,7.1/10,60,85,"351,028",4.1/5,Harry Potter and the Deathly Hallows: Part I,,,,
85,151,129,7.6/10,22,90,"1,036,091",3.8/5,The Sixth Sense,,,,
98,290,283,8.7/10,7,90,"1,203,115",3.8/5,Up,,,,
64,320,206,6.0/10,114,79,"26,650",4.0/5,Aquaman,,,,
86,344,297,8.1/10,47,91,"569,017",4.2/5,Inception,,,,
49,189,92,5.2/10,97,70,"293,020",3.8/5,"The Twilight Saga: Breaking Dawn, Part 2",,,,
77,247,191,6.9/10,56,81,"2,332,612",3.9/5,Harry Potter and the Order of the Phoenix,,,,
76,214,162,6.9/10,52,61,"34,105,040",3.1/5,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,,,
56,319,179,6.3/10,140,75,"446,929",3.9/5,Man of Steel,,,,
95,92,87,8.9/10,5,97,"1,053,809",4.1/5,Star Wars Ep. V: The Empire Strikes Back,,,,
88,249,219,7.5/10,30,74,"34,153,241",3.4/5,Harry Potter and the Goblet of Fire,,,,
96,193,185,8.0/10,8,90,"1,254,492",3.8/5,"Monsters, Inc.",,,,
64,53,34,5.6/10,19,79,"1,026,110",3.3/5,Home Alone,,,,
70,273,192,7.0/10,81,66,"200,837",3.6/5,The Hunger Games: Mockingjay - Part 2,,,,
73,245,179,6.8/10,66,72,"942,148",3.4/5,The Matrix Reloaded,,,,
25,202,50,4.4/10,152,60,"186,575",3.5/5,"The Twilight Saga: Breaking Dawn, Part 1",,,,
39,160,62,5.2/10,98,58,"33,181,852",3.5/5,Meet the Fockers,,,,
78,235,184,6.8/10,51,84,"942,727",4.0/5,The Hangover,,,,
98,96,335,9.0/10,15,80,"302,251",4.0/5,Gravity,,,,
43,7,3,5.1/10,4,90,"1,277",4.1/5,Sing,,,,
