,cretic(%),cretic_count,cretic_fresh,cretic_rate,cretic_rot,user(%),user_number,user_rate,name,url
0,93,403,374,8.2/10,29,87,"229,322",4.3/5,Star Wars Ep. VII: The Force Awakens,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens
1,82,303,249,7.4/10,54,82,"1,381,863",4.1/5,Avatar,https://www.rottentomatoes.com/m/avatar
3,84,408,344,7.5/10,64,91,"51,037",4.5/5,Avengers: Infinity War,https://www.rottentomatoes.com/m/avengers_infinity_war
4,89,184,163,8/10,21,69,"35,797,356",3.3/5,Titanic,https://www.rottentomatoes.com/m/titanic
5,71,323,230,6.7/10,93,78,"224,995",3.9/5,Jurassic World,https://www.rottentomatoes.com/m/jurassic_world
8,94,332,311,7.8/10,21,86,"16,103",4.2/5,Incredibles 2,https://www.rottentomatoes.com/m/incredibles_2
9,94,332,312,8.6/10,20,94,"1,830,714",4.4/5,The Dark Knight,https://www.rottentomatoes.com/m/the_dark_knight
10,84,410,344,7.5/10,66,86,"101,006",4.2/5,Rogue One: A Star Wars Story,https://www.rottentomatoes.com/m/rogue_one_a_star_wars_story
12,94,310,292,7.6/10,18,84,"181,248",4.1/5,Finding Dory,https://www.rottentomatoes.com/m/finding_dory
13,54,220,119,6/10,101,59,"1,206,541",3.3/5,Star Wars Ep. I: The Phantom Menace,https://www.rottentomatoes.com/m/star_wars_episode_i_the_phantom_menace
15,75,343,257,6.7/10,86,83,"286,305",4/5,Avengers: Age of Ultron,https://www.rottentomatoes.com/m/avengers_age_of_ultron
16,87,351,304,8/10,47,90,"1,210,158",4.3/5,The Dark Knight Rises,https://www.rottentomatoes.com/m/the_dark_knight_rises
17,89,235,208,7.7/10,27,69,"34,232,374",3.5/5,Shrek 2,https://www.rottentomatoes.com/m/shrek_2
18,98,125,123,9.2/10,2,72,"32,314,083",3.5/5,ET: The Extra-Terrestrial,https://www.rottentomatoes.com/m/et_the_extraterrestrial
19,89,273,243,7.6/10,30,89,"423,834",4.3/5,The Hunger Games: Catching Fire,https://www.rottentomatoes.com/m/the_hunger_games_catching_fire
21,93,123,114,8.4/10,9,93,"1,269,143",4/5,The Lion King,https://www.rottentomatoes.com/m/the_lion_king
22,48,375,179,5.5/10,196,50,"28,284",3.2/5,Jurassic World: Fallen Kingdom,https://www.rottentomatoes.com/m/jurassic_world_fallen_kingdom
23,98,299,294,8.9/10,5,89,"606,302",4.3/5,Toy Story 3,https://www.rottentomatoes.com/m/toy_story_3
24,89,9,8,7.3/10,1,78,"8,508",3.8/5,Wonder Woman,https://www.rottentomatoes.com/m/wonder_woman
25,80,309,246,7/10,63,78,"483,245",4/5,Iron Man 3,https://www.rottentomatoes.com/m/iron_man_3
26,91,382,347,7.7/10,35,89,"177,406",4.3/5,Captain America: Civil War,https://www.rottentomatoes.com/m/captain_america_civil_war
27,84,295,247,7.3/10,48,81,"902,027",4.1/5,The Hunger Games,https://www.rottentomatoes.com/m/the_hunger_games
28,76,211,161,6.2/10,50,87,"37,950",4.3/5,Jumanji: Welcome to the Jungle,https://www.rottentomatoes.com/m/jumanji_welcome_to_the_jungle
29,90,240,215,7.6/10,25,67,"34,296,962",3.3/5,Spider-Man,https://www.rottentomatoes.com/m/spiderman
30,19,248,47,3.9/10,201,57,"4,081,464",3.5/5,Transformers: Revenge of the Fallen,https://www.rottentomatoes.com/m/transformers_revenge_of_the_fallen
31,56,9,5,5/10,4,57,54,3.4/5,Frozen,https://www.rottentomatoes.com/m/frozen
32,91,123,112,8.3/10,11,91,"1,069,586",3.6/5,Jurassic Park,https://www.rottentomatoes.com/m/jurassic_park
33,83,366,305,7.2/10,61,87,"106,468",4.2/5,Guardians of the Galaxy Vol 2,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2
34,96,320,307,8.3/10,13,89,"390,605",4.3/5,Harry Potter and the Deathly Hallows: Part II,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_ii
35,99,262,260,8.7/10,2,86,"33,356,664",3.8/5,Finding Nemo,https://www.rottentomatoes.com/m/finding_nemo
36,79,291,231,7.3/10,60,65,"33,682,429",3.1/5,Star Wars Ep. III: Revenge of the Sith,https://www.rottentomatoes.com/m/star_wars_episode_iii_revenge_of_the_sith
